iter	Passed	Remaining
0	149	149465
1	169	84620
2	174	57829
3	176	44065
4	181	36023
5	196	32619
6	201	28618
7	207	25694
8	210	23220
9	214	21215
10	219	19716
11	222	18291
12	236	17944
13	247	17420
14	259	17046
15	262	16156
16	265	15355
17	268	14647
18	271	14024
19	274	13470
20	277	12948
21	281	12530
22	284	12101
23	287	11696
24	291	11352
25	293	11007
26	297	10704
27	299	10409
28	304	10179
29	307	9929
30	311	9741
31	314	9517
32	317	9311
33	320	9114
34	325	8972
35	328	8798
36	331	8631
37	335	8486
38	338	8333
39	341	8195
40	372	8711
41	375	8557
42	381	8496
43	384	8362
44	387	8228
45	390	8096
46	401	8137
47	405	8034
48	428	8310
49	431	8203
50	434	8090
51	438	7990
52	442	7899
53	444	7791
54	447	7687
55	450	7596
56	453	7499
57	458	7443
58	461	7365
59	464	7282
60	468	7207
61	471	7139
62	475	7070
63	478	7003
64	481	6927
65	484	6853
66	487	6792
67	491	6732
68	494	6678
69	497	6613
70	514	6735
71	518	6680
72	526	6683
73	529	6630
74	535	6602
75	538	6550
76	542	6497
77	547	6466
78	549	6411
79	555	6383
80	558	6335
81	561	6286
82	563	6221
83	566	6173
84	570	6143
85	573	6093
86	576	6045
87	578	5998
88	581	5956
89	584	5910
90	586	5863
91	589	5817
92	591	5771
93	594	5727
94	597	5690
95	600	5654
96	603	5613
97	605	5576
98	608	5538
99	611	5499
100	614	5465
101	616	5429
102	619	5396
103	622	5359
104	624	5325
105	627	5291
106	630	5261
107	633	5230
108	636	5200
109	639	5173
110	649	5203
111	656	5205
112	663	5208
113	667	5185
114	670	5161
115	674	5139
116	677	5109
117	681	5091
118	687	5086
119	694	5093
120	697	5065
121	702	5052
122	705	5031
123	713	5041
124	720	5046
125	725	5029
126	727	5001
127	732	4987
128	735	4962
129	738	4939
130	741	4921
131	748	4921
132	753	4910
133	757	4892
134	759	4869
135	763	4848
136	766	4825
137	768	4801
138	771	4777
139	774	4755
140	776	4732
141	778	4706
142	781	4684
143	784	4660
144	786	4637
145	789	4617
146	793	4602
147	795	4582
148	798	4561
149	801	4541
150	804	4521
151	808	4512
152	812	4499
153	816	4484
154	819	4469
155	824	4462
156	827	4444
157	830	4428
158	838	4437
159	844	4434
160	846	4412
161	860	4452
162	863	4432
163	866	4416
164	869	4400
165	873	4386
166	876	4371
167	879	4354
168	882	4340
169	885	4323
170	888	4308
171	891	4291
172	894	4274
173	897	4258
174	899	4240
175	902	4224
176	905	4209
177	908	4193
178	911	4180
179	914	4164
180	918	4154
181	921	4143
182	924	4129
183	929	4120
184	931	4105
185	934	4091
186	937	4075
187	940	4062
188	943	4048
189	946	4034
190	949	4020
191	951	4005
192	955	3993
193	958	3980
194	960	3966
195	963	3953
196	966	3940
197	970	3929
198	973	3919
199	977	3908
200	980	3897
201	983	3885
202	987	3875
203	991	3869
204	995	3858
205	998	3848
206	1002	3840
207	1006	3831
208	1009	3820
209	1012	3808
210	1017	3803
211	1020	3794
212	1023	3782
213	1026	3770
214	1033	3774
215	1037	3764
216	1040	3755
217	1044	3748
218	1054	3761
219	1065	3778
220	1069	3769
221	1087	3811
222	1092	3806
223	1096	3799
224	1105	3808
225	1111	3805
226	1114	3795
227	1117	3785
228	1123	3783
229	1126	3772
230	1138	3789
231	1146	3794
232	1150	3786
233	1158	3791
234	1163	3788
235	1166	3776
236	1170	3768
237	1173	3757
238	1180	3758
239	1183	3746
240	1185	3734
241	1188	3723
242	1191	3711
243	1193	3698
244	1196	3685
245	1199	3675
246	1201	3664
247	1204	3651
248	1207	3640
249	1210	3630
250	1212	3618
251	1215	3607
252	1217	3595
253	1220	3585
254	1224	3576
255	1227	3566
256	1229	3555
257	1232	3544
258	1235	3533
259	1237	3522
260	1240	3511
261	1242	3500
262	1245	3489
263	1247	3478
264	1250	3467
265	1252	3457
266	1255	3447
267	1258	3438
268	1261	3429
269	1264	3418
270	1267	3408
271	1269	3397
272	1272	3389
273	1275	3380
274	1278	3370
275	1281	3360
276	1284	3351
277	1287	3343
278	1290	3334
279	1292	3324
280	1294	3313
281	1297	3303
282	1299	3293
283	1305	3290
284	1307	3280
285	1310	3270
286	1312	3261
287	1315	3252
288	1318	3244
289	1321	3235
290	1324	3225
291	1326	3216
292	1329	3206
293	1331	3198
294	1334	3189
295	1337	3180
296	1339	3171
297	1342	3162
298	1345	3154
299	1348	3145
300	1351	3138
301	1354	3129
302	1356	3120
303	1359	3111
304	1362	3103
305	1365	3097
306	1369	3090
307	1377	3094
308	1383	3092
309	1390	3095
310	1396	3093
311	1399	3087
312	1404	3083
313	1409	3080
314	1415	3077
315	1418	3070
316	1421	3062
317	1424	3055
318	1427	3046
319	1431	3041
320	1434	3033
321	1437	3025
322	1439	3017
323	1442	3009
324	1445	3002
325	1448	2994
326	1451	2986
327	1454	2979
328	1457	2973
329	1462	2969
330	1467	2966
331	1470	2959
332	1473	2951
333	1476	2943
334	1478	2935
335	1481	2927
336	1490	2931
337	1496	2930
338	1499	2924
339	1503	2919
340	1507	2913
341	1510	2906
342	1513	2899
343	1516	2892
344	1519	2884
345	1523	2879
346	1525	2871
347	1528	2863
348	1531	2856
349	1534	2849
350	1537	2842
351	1542	2839
352	1545	2832
353	1548	2825
354	1550	2817
355	1553	2810
356	1556	2802
357	1558	2794
358	1561	2787
359	1563	2780
360	1587	2809
361	1590	2802
362	1594	2798
363	1598	2792
364	1601	2785
365	1605	2780
366	1608	2774
367	1611	2767
368	1613	2759
369	1620	2758
370	1622	2751
371	1625	2744
372	1628	2736
373	1630	2729
374	1634	2723
375	1637	2717
376	1640	2711
377	1644	2705
378	1647	2698
379	1650	2693
380	1654	2688
381	1657	2680
382	1659	2673
383	1661	2666
384	1666	2661
385	1669	2655
386	1672	2649
387	1676	2645
388	1685	2647
389	1689	2642
390	1697	2643
391	1701	2638
392	1704	2632
393	1707	2626
394	1711	2621
395	1714	2615
396	1717	2608
397	1720	2601
398	1722	2595
399	1726	2589
400	1728	2582
401	1731	2575
402	1734	2569
403	1736	2562
404	1739	2555
405	1741	2548
406	1744	2541
407	1746	2534
408	1749	2527
409	1752	2521
410	1756	2517
411	1759	2511
412	1762	2505
413	1765	2499
414	1813	2556
415	1816	2550
416	1821	2546
417	1825	2541
418	1828	2534
419	1831	2528
420	1834	2522
421	1837	2516
422	1839	2509
423	1842	2503
424	1846	2497
425	1848	2491
426	1853	2487
427	1856	2481
428	1859	2474
429	1861	2467
430	1864	2461
431	1866	2454
432	1873	2453
433	1877	2448
434	1880	2442
435	1896	2452
436	1898	2446
437	1901	2439
438	1904	2433
439	1907	2428
440	1910	2421
441	1913	2415
442	1916	2410
443	1919	2403
444	1921	2396
445	1923	2389
446	1925	2382
447	1928	2375
448	1930	2368
449	1942	2373
450	1956	2381
451	1958	2374
452	1960	2367
453	1963	2361
454	1966	2355
455	1969	2349
456	1972	2343
457	1975	2337
458	1978	2331
459	1992	2338
460	1994	2332
461	1997	2326
462	2000	2320
463	2003	2314
464	2005	2307
465	2008	2301
466	2010	2294
467	2012	2287
468	2014	2281
469	2017	2275
470	2019	2268
471	2021	2261
472	2023	2255
473	2026	2248
474	2035	2249
475	2046	2253
476	2050	2248
477	2070	2260
478	2074	2256
479	2076	2250
480	2080	2245
481	2083	2239
482	2086	2233
483	2088	2227
484	2091	2220
485	2093	2214
486	2101	2213
487	2109	2213
488	2113	2208
489	2118	2204
490	2120	2198
491	2123	2192
492	2126	2187
493	2129	2181
494	2131	2175
495	2133	2168
